id,name,brand,category,parent,group,tags,price,description
115,GG Silk Wrap Skirt,Gucci,Skirt,Dresses,Women's Fashion,"Luxury, Statement Piece",185.0,"Exude pure luxury with this exquisite silk wrap skirt. The flowing silhouette is adorned with the iconic GG monogram, creating a statement piece of unparalleled elegance."
116,Active Recovery Sneakers,Adidas,Sneakers,Shoes,Men's Fashion,"Athleisure, Performance",95.0,"Designed for post-workout comfort. These sneakers feature a cushioned sole and a breathable mesh upper to help your feet recover, while still looking stylish for everyday wear."
117,GG Monogram Silk Scarf,Gucci,Scarf,Accessories,Women's Fashion,"Luxury, Statement Piece",150.0,"The epitome of luxury accessorizing. This beautiful silk scarf features the signature GG monogram, adding a timeless and sophisticated touch to any ensemble."
118,Uniqlo Hoodie (Sustainable Cotton),Uniqlo,Hoodie,Outerwear,Men's Fashion,"Core Essential, Sustainable",87.0,"A cozy essential for your everyday wardrobe. This hoodie is crafted from soft, sustainable cotton, offering a comfortable fit and a minimalist design for versatile styling."
119,Zara T-shirt (Casual Polyester),Zara,T-shirt,Shirts,Women's Fashion,"Casual, Everyday Essential",140.0,"An easy-to-wear tee for any casual occasion. The lightweight polyester fabric provides a comfortable feel and a vibrant look, making it a versatile wardrobe staple."
120,H&M Jeans (Streetwear Denim),H&M,Jeans,Pants,Kid's Fashion,"Streetwear, Urban Essential",105.0,"Get the perfect streetwear look with these on-trend jeans. Designed with a modern fit and durable denim, they are the ideal base for any cool, casual kid's outfit."
121,Gucci Dress (Luxury/Statement Silk),Gucci,Dress,Dresses,Women's Fashion,"Statement Piece, Luxury",145.0,"A breathtaking expression of high fashion. This luxurious silk dress from Gucci is designed to make a statement, featuring an elegant silhouette and exquisite detailing."
122,Nike Sneakers (Athleisure Mesh),Nike,Sneakers,Shoes,Men's Fashion,"Lifestyle, Athleisure",133.0,"Engineered for both performance and style. These Nike sneakers feature a breathable mesh upper and responsive cushioning, perfect for an active lifestyle or a sporty street look."
123,Adidas Hoodie (Athleisure Cotton),Adidas,Hoodie,Outerwear,Kid's Fashion,"Athleisure, Lifestyle",201.0,"The perfect hoodie for sport and street. Made from soft cotton, this Adidas hoodie offers classic comfort and style, featuring the iconic brand logo for an athletic touch."
124,Puma Skirt (Sustainable Polyester),Puma,Skirt,Dresses,Women's Fashion,"Core Essential, Sustainable",186.0,"A sporty and sustainable choice. This Puma skirt is crafted from recycled polyester, offering a comfortable fit and a sleek design for an active, eco-conscious lifestyle."
125,Coolmate Shorts (Casual Spandex),Coolmate,Shorts,Pants,Men's Fashion,"Everyday Essential, Casual",120.0,"Move with ease in these comfortable casual shorts. The spandex blend provides excellent stretch and flexibility, making them ideal for active days or relaxed weekends."
126,Biti’s Polo Shirt (Eco-Friendly Cotton),Biti’s,Polo Shirt,Shirts,Kid's Fashion,"Conscious Choice, Eco-Friendly",131.0,"A smart and sustainable choice for kids. This polo shirt is made from eco-friendly cotton, offering a soft feel and a classic look that's kind to the planet."
127,Everest Jacket (Seasonal Wool),Everest,Jacket,Outerwear,Men's Fashion,"Seasonal, Weather-Ready",208.0,"Brave the cold in this rugged and warm seasonal jacket. Crafted from a durable wool blend, it's designed to provide excellent insulation on your outdoor adventures."
128,Bloom Sandals (Minimalist Leather),Bloom,Sandals,Shoes,Women's Fashion,"Minimalist, Clean Design",173.0,"Elegance in simplicity. These minimalist sandals are crafted from fine leather, featuring a clean design that pairs beautifully with any warm-weather outfit."
129,Zara T-shirt (Casual Cotton),Zara,T-shirt,Shirts,Men's Fashion,"Casual, Everyday Essential",127.0,"A timeless wardrobe basic. This classic cotton t-shirt from Zara offers a comfortable fit and a versatile look, perfect for layering or wearing on its own."
130,H&M Jeans (Vintage/Retro Denim),H&M,Jeans,Pants,Women's Fashion,"Retro/Heritage Style, Vintage",106.0,"Channel a cool, retro vibe with these vintage-style jeans. The classic denim wash and fit create an authentic look that's perfect for effortless, everyday style."
131,Uniqlo Dress (Sustainable Organic Cotton),Uniqlo,Dress,Dresses,Kid's Fashion,"Sustainable, Core Essential",112.0,"A simple and sweet dress for kids, made thoughtfully. Crafted from soft, sustainable organic cotton, it's comfortable for all-day play and gentle on the skin."
132,Gucci Sneakers (Luxury/Statement Leather),Gucci,Sneakers,Shoes,Men's Fashion,"Statement Piece, Luxury",197.0,"The ultimate in luxury footwear. These Gucci sneakers are crafted from premium leather, featuring iconic brand details for a high-fashion, statement-making look."
133,Nike Hoodie (Athleisure Polyester),Nike,Hoodie,Outerwear,Women's Fashion,"Athleisure, Performance",195.0,"A sleek, modern hoodie for your active life. The lightweight polyester fabric provides warmth without the weight, perfect for workouts or a sporty street style."
134,Adidas Skirt (Seasonal Spandex),Adidas,Skirt,Dresses,Kid's Fashion,"Seasonal, Summer & Swim",108.0,"A fun and flexible skirt for active kids. The spandex blend allows for easy movement, making it a great choice for sports and play during warmer seasons."
135,Puma Shorts (Casual Cotton),Puma,Shorts,Pants,Men's Fashion,"Casual, Everyday Essential",118.0,"Reliable comfort for any casual day. These Puma shorts are made from soft cotton, offering a relaxed fit that's perfect for sports, lounging, or weekend outings."
136,Coolmate Polo Shirt (Eco-Friendly Recycled Polyest,Coolmate,Polo Shirt,Shirts,Women's Fashion,"Eco-Friendly, Conscious Choice",117.0,"Look sharp and support sustainability. This polo shirt is made from eco-friendly recycled polyester, offering a crisp, comfortable feel with a modern, conscious edge."
137,Biti’s Jacket (Streetwear Denim),Biti’s,Jacket,Outerwear,Kid's Fashion,"Streetwear, Urban Essential",102.0,A cool and durable denim jacket for kids. This piece offers a classic streetwear look that's perfect for layering and adding a stylish edge to any outfit.
138,Everest Sandals (Minimalist Leather),Everest,Sandals,Shoes,Men's Fashion,"Clean Design, Minimalist",189.0,"Crafted for comfort and timeless style. These minimalist leather sandals provide a durable, supportive base for your warm-weather adventures, from city streets to nature trails."
139,Bloom T-shirt (Casual Cotton),Bloom,T-shirt,Shirts,Women's Fashion,"Everyday Essential, Casual",133.0,"A soft and simple essential for her wardrobe. This casual cotton t-shirt offers a comfortable, breathable fit, making it a perfect foundation for everyday looks."
140,Zara Jeans (Vintage/Retro Denim),Zara,Jeans,Pants,Kid's Fashion,"Retro/Heritage Style, Vintage",100.0,Give their style a retro twist with these vintage-inspired jeans. The classic cut and denim wash make them a fun and fashionable choice for any casual day.
141,H&M Dress (Sustainable Organic Cotton),H&M,Dress,Dresses,Women's Fashion,"Sustainable, Core Essential",115.0,"An easy, breezy dress that's kind to the planet. Made from soft, sustainable organic cotton, it's a comfortable and conscious choice for her everyday wardrobe."
142,Uniqlo Sneakers (Athleisure Mesh),Uniqlo,Sneakers,Shoes,Men's Fashion,"Lifestyle, Athleisure",128.0,"Lightweight, breathable, and built for comfort. These Uniqlo sneakers are perfect for an active lifestyle, featuring a mesh upper that keeps your feet cool all day long."
143,Gucci Hoodie (Luxury/Statement Silk),Gucci,Hoodie,Outerwear,Kid's Fashion,"Luxury, Statement Piece",209.0,"The pinnacle of luxurious loungewear for kids. This unique silk hoodie from Gucci offers unparalleled softness and an exclusive, high-fashion look."
144,Nike Skirt (Seasonal Spandex),Nike,Skirt,Dresses,Women's Fashion,"Seasonal, Summer & Swim",111.0,"A sporty and stylish skirt for warm-weather activities. The stretchy spandex fabric allows for full range of motion, making it perfect for tennis, running, or casual wear."
145,Adidas Shorts (Casual Cotton),Adidas,Shorts,Pants,Men's Fashion,"Casual, Everyday Essential",125.0,"Classic comfort for his everyday. These Adidas shorts are made from soft cotton, featuring the iconic brand logo for a sporty look that's perfect for play or relaxation."
146,Puma Polo Shirt (Eco-Friendly Recycled Polyester),Puma,Polo Shirt,Shirts,Kid's Fashion,"Conscious Choice, Eco-Friendly",129.0,"A smart, sporty, and sustainable choice for kids. This polo is made from recycled materials, offering a comfortable fit and a clean look that's good for the planet."
147,Coolmate Jacket (Streetwear Denim),Coolmate,Jacket,Outerwear,Men's Fashion,"Streetwear, Urban Essential",109.0,"A modern take on the classic denim jacket. This piece offers a sharp streetwear silhouette, perfect for layering and adding a cool, urban edge to your look."
148,Biti’s Sandals (Minimalist Leather),Biti’s,Sandals,Shoes,Women's Fashion,"Clean Design, Minimalist",178.0,"Simple, elegant, and comfortable. These minimalist leather sandals from Biti's are designed for a timeless look and a supportive feel for all-day wear."
149,Everest T-shirt (Casual Cotton),Everest,T-shirt,Shirts,Kid's Fashion,"Kids Everyday, Casual",122.0,"A reliable and rugged tee for young adventurers. This casual cotton t-shirt is built for comfort and durability, ready for any challenge they take on."
150,Bloom Jeans (Vintage/Retro Denim),Bloom,Jeans,Pants,Men's Fashion,"Retro/Heritage Style, Vintage",103.0,"Classic style with a vintage heart. These jeans feature a retro-inspired cut and wash, crafted from durable denim for a timeless look that gets better with every wear."
151,Zara Dress (Sustainable Organic Cotton),Zara,Dress,Dresses,Kid's Fashion,"Sustainable, Core Essential",119.0,"A sweet and simple dress for kids, made with sustainable organic cotton. It's soft on the skin and perfect for comfortable, everyday play."
152,H&M Sneakers (Athleisure Mesh),H&M,Sneakers,Shoes,Women's Fashion,"Lifestyle, Athleisure",130.0,Combine style and comfort with these versatile sneakers. The breathable mesh upper and sporty design make them a great choice for both active days and casual street looks.
153,Uniqlo Hoodie (Luxury/Statement Silk),Uniqlo,Hoodie,Outerwear,Men's Fashion,"Statement Piece, Luxury",215.0,"An unexpected touch of luxury. This hoodie redefines casualwear with its exquisite silk fabric, offering a sophisticated feel and a unique, high-end look."
154,Gucci Skirt (Seasonal Spandex),Gucci,Skirt,Dresses,Kid's Fashion,"Luxury, Statement Piece",113.0,"A playful and luxurious skirt for kids. This piece combines a comfortable, stretchy fit with Gucci's signature style, perfect for a fashionable seasonal look."
155,Nike Shorts (Casual Cotton),Nike,Shorts,Pants,Women's Fashion,"Everyday Essential, Casual",126.0,"Effortless comfort for her casual days. These Nike shorts are made from soft cotton, offering a relaxed fit that's perfect for lounging, workouts, or running errands."
156,Adidas Polo Shirt (Eco-Friendly Recycled Polyester,Adidas,Polo Shirt,Shirts,Kid's Fashion,"Eco-Friendly, Conscious Choice",135.0,"A sporty classic with a sustainable mission. This kids' polo is made from recycled materials, offering a sharp look and comfortable feel for the eco-conscious family."
157,Puma Jacket (Streetwear Denim),Puma,Jacket,Outerwear,Women's Fashion,"Streetwear, Urban Essential",110.0,"A bold denim jacket with a streetwear edge. This piece features a modern cut and on-trend details, making it a standout layer for any fashion-forward woman."
158,Coolmate Sandals (Minimalist Leather),Coolmate,Sandals,Shoes,Kid's Fashion,"Clean Design, Minimalist",180.0,"Minimalist design meets kid-friendly comfort. These leather sandals offer a simple, stylish look with a durable build, perfect for warm-weather outings."
159,Biti’s T-shirt (Casual Cotton),Biti’s,T-shirt,Shirts,Men's Fashion,"Casual, Everyday Essential",128.0,"A dependable and comfortable basic for any man's wardrobe. This Biti's t-shirt is made from soft cotton, providing a great fit for everyday wear."
160,Everest Jeans (Vintage/Retro Denim),Everest,Jeans,Pants,Women's Fashion,"Retro/Heritage Style, Vintage",107.0,"Built for style and adventure. These vintage-inspired jeans from Everest offer a classic, rugged look with durable denim construction that's ready for anything."
161,Bloom Dress (Sustainable Organic Cotton),Bloom,Dress,Dresses,Kid's Fashion,"Sustainable, Core Essential",120.0,"A charming and eco-friendly dress for kids. Made from soft organic cotton, it's a comfortable and conscious choice for any special occasion or everyday fun."
162,Zara Sneakers (Athleisure Mesh),Zara,Sneakers,Shoes,Men's Fashion,"Lifestyle, Athleisure",138.0,Your perfect partner for an active day. These Zara sneakers feature a lightweight mesh design for breathability and a sporty look that transitions from the gym to the street.
163,H&M Hoodie (Luxury/Statement Silk),H&M,Hoodie,Outerwear,Women's Fashion,"Luxury, Statement Piece",220.0,"Experience casualwear like never before. This H&M hoodie is crafted from luxurious silk, offering an incredibly soft feel and a surprisingly elegant statement."
164,Uniqlo Skirt (Seasonal Spandex),Uniqlo,Skirt,Dresses,Kid's Fashion,"Seasonal, Summer & Swim",116.0,"A fun, stretchy skirt that's perfect for active kids. The flexible spandex material allows for maximum movement, ideal for playdates and parties in any season."
165,Gucci Shorts (Casual Cotton),Gucci,Shorts,Pants,Men's Fashion,"Luxury, Statement Piece",130.0,"Luxury meets leisure in these Gucci shorts. Made from premium cotton, they offer a comfortable, relaxed fit while showcasing the brand's iconic, high-end appeal."
166,Nike Polo Shirt (Eco-Friendly Recycled Polyester),Nike,Polo Shirt,Shirts,Women's Fashion,"Eco-Friendly, Conscious Choice",140.0,"Performance, style, and sustainability. This Nike polo is made from recycled materials, offering a sharp look and moisture-wicking comfort for the modern, active woman."
167,Adidas Jacket (Streetwear Denim),Adidas,Jacket,Outerwear,Kid's Fashion,"Streetwear, Urban Essential",115.0,"A sporty take on the classic denim jacket for kids. This piece features iconic Adidas branding and a cool streetwear fit, perfect for young trendsetters."
168,Sustainable Cargo Pants,Uniqlo,Cargo Pants,Pants,Men's Fashion,"Sustainable, Core Essential",70.0,"Functionality, responsibly made. These cargo pants are crafted from recycled cotton, offering a modern, comfortable fit with ample storage for your daily essentials."
169,Vintage Slim-Fit Trousers,H&M,Slim-Fit Trousers,Pants,Men's Fashion,"Retro/Heritage Style, Vintage",85.0,"A sharp, retro-inspired silhouette. These slim-fit trousers offer a tailored look with a vintage touch, perfect for creating a polished yet unique style."
170,Athleisure Track Pants,Nike,Track Pants,Pants,Men's Fashion,"Performance, Athleisure",65.0,"Engineered for performance, designed for the street. These Nike track pants offer a sleek, athletic fit with moisture-wicking fabric for comfort during any activity."
171,Sustainable Chinos,Uniqlo,Chinos,Pants,Men's Fashion,"Core Essential, Sustainable",75.0,"A classic style, updated for a better future. These chinos are made from recycled polyester, offering a sharp look and a comfortable feel with a sustainable advantage."
172,Athleisure Joggers,Nike,Joggers,Pants,Women's Fashion,"Lifestyle, Athleisure",65.0,"The perfect blend of comfort and style for her active life. These Nike joggers feature a tapered fit and soft, performance fabric for lounging or light workouts."
173,Sustainable Culottes,H&M,Culottes,Pants,Women's Fashion,"Core Essential, Sustainable",70.0,"Chic, comfortable, and consciously made. These culottes are crafted from recycled polyester, featuring a stylish wide-leg silhouette for an effortlessly elegant look."
174,Streetwear Cargo Pants,Zara,Cargo Pants,Pants,Women's Fashion,"Urban Essential, Streetwear",80.0,"Embrace the utility trend with these on-point cargo pants. Featuring a modern cut and ample pocket space, they are the perfect foundation for a cool, streetwear look."
175,Vintage High-Waisted Trousers,Uniqlo,Wide-Leg Pants,Pants,Women's Fashion,"Retro/Heritage Style, Vintage",90.0,"A flattering, vintage-inspired silhouette. These high-waisted, wide-leg trousers create an elongated look with a touch of retro charm, perfect for a sophisticated style."
176,Seasonal Lightweight Leggings,H&M,Leggings,Pants,Women's Fashion,"Weather-Ready, Seasonal",50.0,"The perfect leggings for transitional weather. Made from a soft, lightweight cotton, they offer comfortable coverage without the bulk, ideal for layering or mild days."
177,Vintage Flannel Shirt,Zara,Flannel Shirt,Shirts,Men's Fashion,"Retro/Heritage Style, Vintage",60.0,"A timeless wardrobe staple with a rugged, vintage feel. This soft cotton flannel shirt is perfect for layering, offering warmth and a classic, casual look."
178,Streetwear Graphic Overshirt,H&M,Overshirt,Shirts,Men's Fashion,"Urban Essential, Streetwear",70.0,"A cool, versatile layering piece with a streetwear attitude. This graphic overshirt can be worn as a light jacket or a statement shirt, adding an urban edge to any outfit."
179,Sustainable Denim Shirt,Uniqlo,Denim Shirt,Shirts,Men's Fashion,"Core Essential, Sustainable",65.0,"A classic denim shirt, reimagined with recycled cotton. It offers the same timeless style and durability you love, but with a more sustainable approach."
180,Athleisure Performance Tee,Nike,T-shirt,Shirts,Men's Fashion,"Performance, Athleisure",55.0,"Optimize your workout with this performance tee. Engineered with sweat-wicking fabric, it helps keep you dry and comfortable through your most intense training sessions."
181,Seasonal Lightweight Tunic,Zara,Tunic,Shirts,Women's Fashion,"Seasonal, Summer & Swim",60.0,"An effortlessly chic tunic for warmer seasons. Its lightweight, flowing fabric and relaxed fit make it a perfect, comfortable choice for a breezy, stylish look."
182,Streetwear Oversized Graphic Tee,H&M,T-shirt,Shirts,Women's Fashion,"Urban Essential, Streetwear",50.0,"Make a bold statement with this oversized graphic tee. Its relaxed, slouchy fit and eye-catching print create an instant cool-girl, streetwear vibe."
183,Sustainable Flannel Shirt,Uniqlo,Flannel Shirt,Shirts,Women's Fashion,"Core Essential, Sustainable",65.0,"Cozy, comfortable, and consciously created. This soft flannel shirt is made from recycled cotton, offering a classic plaid look that's perfect for sustainable layering."
184,Athleisure Crop Performance Top,Nike,Crop Top,Shirts,Women's Fashion,"Performance, Athleisure",55.0,"A stylish and functional top for your workout. This crop top is made with performance fabric to keep you cool, featuring a sleek design for a confident, athletic look."
185,Vintage Denim Blouse,Zara,Blouse,Shirts,Women's Fashion,"Retro/Heritage Style, Vintage",70.0,"A feminine take on classic denim. This vintage-style blouse offers a soft feel and a relaxed fit, combining rugged material with a touch of retro elegance."
186,Sustainable Joggers,Puma,Joggers,Pants,Men's Fashion,"Sustainable, Core Essential",65.0,"Relax in style with these eco-friendly joggers. Made from recycled polyester, they offer a soft feel and a comfortable, tapered fit for a modern loungewear look."
187,Streetwear Slim-Fit Trousers,Coolmate,Slim-Fit Trousers,Pants,Men's Fashion,"Streetwear, Urban Essential",70.0,"A sharp and modern foundation for your streetwear outfits. These slim-fit trousers offer a clean, tailored silhouette that pairs perfectly with sneakers and hoodies."
188,Athleisure Cargo Pants,Everest,Cargo Pants,Pants,Men's Fashion,"Lifestyle, Athleisure",75.0,"The perfect fusion of utility and athletic style. These cargo pants are made from performance fabric, offering comfort, flexibility, and plenty of storage for your active life."
189,Vintage Chinos,Bloom,Chinos,Pants,Men's Fashion,"Retro/Heritage Style, Vintage",80.0,"A timeless classic with a retro feel. These chinos are crafted from durable cotton, offering a versatile and polished look inspired by vintage workwear."
190,Sustainable Wide-Leg Pants,Bloom,Wide-Leg Pants,Pants,Women's Fashion,"Sustainable, Core Essential",70.0,"Elegant, airy, and eco-conscious. These wide-leg pants are made from recycled cotton, offering a beautiful, flowing silhouette for a chic and sustainable statement."
191,Streetwear Culottes,Coolmate,Culottes,Pants,Women's Fashion,"Streetwear, Urban Essential",75.0,"A trendy and comfortable choice for a modern streetwear look. These denim culottes feature a wide-leg silhouette, offering a unique and fashion-forward style."
192,Athleisure Leggings,Puma,Leggings,Pants,Women's Fashion,"Athleisure, Performance",55.0,"Your go-to for comfort and performance. These leggings feature a supportive, high-waisted fit and stretchy fabric, perfect for yoga, the gym, or everyday wear."
193,Vintage Cargo Pants,Everest,Cargo Pants,Pants,Women's Fashion,"Retro/Heritage Style, Vintage",80.0,"A rugged, retro take on the utility trend. These denim cargo pants offer a durable build and a vintage aesthetic, perfect for a functional and stylish look."
194,Seasonal High-Waisted Trousers,Bloom,Wide-Leg Pants,Pants,Women's Fashion,"Summer & Swim, Seasonal",85.0,"Effortless elegance for warmer seasons. These high-waisted trousers feature a lightweight fabric and a flowing, wide-leg cut for a chic and breezy look."
195,Sustainable Overshirt,Puma,Overshirt,Shirts,Men's Fashion,"Core Essential, Sustainable",65.0,"A versatile layering piece with a conscience. This overshirt is crafted from recycled cotton, perfect to wear as a light jacket for a sustainable, utilitarian look."
196,Streetwear Graphic Tee,Coolmate,T-shirt,Shirts,Men's Fashion,"Urban Essential, Streetwear",50.0,"Level up your streetwear game with this bold graphic tee. Made from soft cotton, it's the perfect centerpiece for a cool, urban-inspired outfit."
197,Athleisure Performance Shirt,Everest,T-shirt,Shirts,Men's Fashion,"Performance, Athleisure",55.0,"Built for your toughest workouts. This performance shirt is made from moisture-wicking fabric to keep you cool and dry, helping you push your limits in comfort."
198,Vintage Flannel Shirt,Bloom,Flannel Shirt,Shirts,Men's Fashion,"Retro/Heritage Style, Vintage",60.0,"Classic, comfortable, and full of retro character. This soft cotton flannel shirt is a timeless essential for layering, offering warmth and a rugged, vintage look."
199,Seasonal Linen Blend Shirt,Puma,Button-up Shirt,Shirts,Men's Fashion,"Summer & Swim, Seasonal",70.0,"Stay cool and look sharp when the temperature rises. This shirt is made from a breathable linen-cotton blend, making it the perfect choice for smart summer style."
200,Sustainable Tunic,Bloom,Tunic,Shirts,Women's Fashion,"Core Essential, Sustainable",65.0,"An elegant and eco-friendly wardrobe addition. This tunic is made from soft recycled cotton, featuring a relaxed, flowing fit for a comfortable and conscious style."
201,Streetwear Oversized Blouse,Coolmate,Blouse,Shirts,Women's Fashion,"Urban Essential, Streetwear",70.0,An effortlessly cool and modern blouse. The oversized fit and denim fabric create a bold streetwear statement that's both comfortable and on-trend.
202,Athleisure Crop Tee,Puma,Crop Top,Shirts,Women's Fashion,"Performance, Athleisure",55.0,"A sporty and stylish crop tee for your active wardrobe. Made with performance fabric, it's perfect for pairing with high-waisted leggings for the gym or the street."
203,Vintage Denim Shirt,Everest,Denim Shirt,Shirts,Women's Fashion,"Retro/Heritage Style, Vintage",65.0,"A timeless piece with a soft, worn-in feel. This vintage-style denim shirt offers a classic, versatile look that can be dressed up or down for any occasion."
204,Seasonal Flannel Blouse,Bloom,Flannel Shirt,Shirts,Women's Fashion,"Weather-Ready, Seasonal",60.0,Cozy up in this classic flannel blouse. The soft cotton and timeless plaid pattern make it a perfect choice for adding warmth and style during cooler seasons.
205,Eco Cargo Joggers,Coolmate,Joggers,Pants,Men's Fashion,"Core Essential, Sustainable",68.0,"The perfect blend of utility and sustainability. These joggers feature classic cargo pockets and are made from recycled cotton for a comfortable, eco-friendly style."
206,Urban Slim Cargo Pants,Puma,Cargo Pants,Pants,Men's Fashion,"Urban Essential, Streetwear",72.0,"A modern, streamlined take on the cargo pant. This slim-fit version offers a sharp, urban look with the practicality of cargo pockets, crafted for the modern man."
207,Retro Relaxed Trousers,Everest,Slim-Fit Trousers,Pants,Men's Fashion,"Retro/Heritage Style, Vintage",80.0,"Inspired by classic tailoring, these relaxed trousers offer a comfortable fit with a sophisticated, retro vibe. The wool blend provides warmth and a timeless drape."
208,Active Performance Chinos,Bloom,Chinos,Pants,Men's Fashion,"Lifestyle, Athleisure",70.0,"The ultimate versatile pant. These chinos combine the sharp look of a dress pant with the stretch and comfort of performance wear, perfect for an active, modern lifestyle."
209,Summer Track Pants,Coolmate,Track Pants,Pants,Men's Fashion,"Seasonal, Summer & Swim",60.0,Stay cool and comfortable during your summer workouts. These lightweight track pants are designed with breathable fabric to keep you performing at your best in the heat.
210,Eco Flared Culottes,Puma,Culottes,Pants,Women's Fashion,"Sustainable, Core Essential",75.0,"A chic and sustainable silhouette. These culottes feature a stylish flared leg and are crafted from recycled polyester, offering an elegant look with an eco-friendly twist."
211,Urban Wide-Leg Cargo Pants,Everest,Wide-Leg Pants,Pants,Women's Fashion,"Streetwear, Urban Essential",80.0,"Make a bold streetwear statement with these wide-leg cargo pants. The oversized fit and utility pockets create an on-trend, urban look that's sure to turn heads."
212,Active Stretch Leggings,Bloom,Leggings,Pants,Women's Fashion,"Performance, Athleisure",55.0,"Move without limits in these high-performance leggings. The four-way stretch fabric provides a supportive, second-skin feel, perfect for yoga, running, and gym workouts."
213,Retro High-Waisted Jeans,Coolmate,Jeans,Pants,Women's Fashion,"Retro/Heritage Style, Vintage",85.0,"Flattering, comfortable, and full of vintage charm. These high-waisted jeans are designed to create a classic, retro silhouette that's always in style."
214,Summer Relaxed Trousers,Puma,Wide-Leg Pants,Pants,Women's Fashion,"Summer & Swim, Seasonal",70.0,"Breezy, lightweight, and effortlessly stylish. These relaxed-fit trousers are the perfect choice for staying cool and chic during the warm summer months."
215,Eco Henley Shirt,Coolmate,Henley Shirt,Shirts,Men's Fashion,"Core Essential, Sustainable",60.0,"A casual classic, responsibly made. This Henley shirt is crafted from recycled cotton, offering a soft, comfortable feel and a timeless look for your everyday wardrobe."
216,Urban Graphic Overshirt,Everest,Overshirt,Shirts,Men's Fashion,"Urban Essential, Streetwear",70.0,"A versatile layering piece with a bold, urban aesthetic. This graphic overshirt adds an instant streetwear edge, perfect for wearing over a tee or hoodie."
217,Active Performance Polo,Bloom,Polo Shirt,Shirts,Men's Fashion,"Performance, Athleisure",65.0,"Stay cool and sharp on and off the course. This performance polo is made with moisture-wicking fabric to keep you comfortable, featuring a sleek, athletic fit."
218,Retro Plaid Shirt,Puma,Flannel Shirt,Shirts,Men's Fashion,"Retro/Heritage Style, Vintage",60.0,"A timeless plaid shirt with a cool, retro vibe. Made from soft cotton, it's a versatile and essential piece for creating layered, casual looks with a vintage touch."
219,Summer Linen Tee,Coolmate,T-shirt,Shirts,Men's Fashion,"Summer & Swim, Seasonal",55.0,"The ultimate t-shirt for hot weather. Crafted from a breathable linen-cotton blend, it offers a lightweight feel and a relaxed look to keep you cool and stylish."
220,Eco Wrap Blouse,Everest,Blouse,Shirts,Women's Fashion,"Core Essential, Sustainable",70.0,"A beautifully designed blouse with a sustainable heart. Made from recycled cotton, this wrap-style top creates a flattering silhouette for an elegant, eco-conscious look."
221,Urban Crop Graphic Tee,Bloom,T-shirt,Shirts,Women's Fashion,"Urban Essential, Streetwear",50.0,"Add a punch of personality to your look with this cropped graphic tee. Its bold print and trendy cut make it a perfect piece for a fun, urban-inspired style."
222,Active Performance Crop Top,Coolmate,Crop Top,Shirts,Women's Fashion,"Performance, Athleisure",55.0,Designed to keep you cool while you work hard. This performance crop top features moisture-wicking technology and a supportive fit for your most intense workouts.
223,Retro Flannel Tunic,Puma,Tunic,Shirts,Women's Fashion,"Retro/Heritage Style, Vintage",65.0,"A cozy and stylish tunic with a vintage plaid design. Its longer length and soft flannel fabric make it perfect for pairing with leggings for a comfortable, retro look."
224,Summer Denim Blouse,Everest,Blouse,Shirts,Women's Fashion,"Summer & Swim, Seasonal",70.0,"A lightweight take on classic denim. This blouse is perfect for summer, offering the timeless look of denim in a softer, more breathable fabric for warm-weather style."
225,Active One-Piece Swimsuit,Everest,Swimsuit,Pants,Women's Fashion,"Performance, Athleisure",50.0,Great Pants from Everest
226,Active Tank Top,Coolmate,Swimsuit,Pants,Men's Fashion,"Athleisure, Performance",50.0,"A sleek and supportive swimsuit for your active lifestyle. Designed for performance and comfort, it's perfect for lap swimming or enjoying a day at the beach."
227,Active Bikini,Coolmate,Swimsuit,Pants,Women's Fashion,"Seasonal, Summer & Swim",35.0,"A versatile performance tank top for any workout. Its lightweight and breathable fabric helps keep you cool and comfortable, whether you're lifting, running, or training."
228,Active Rash Guard,Everest,Swimsuit,Pants,Men's Fashion,"Athleisure, Performance",45.0,"A sporty and stylish bikini for your summer adventures. Made from recycled polyester, it offers a comfortable and secure fit for swimming, sunbathing, or beach sports."
229,Test,Test,T-shirt,Shirts,Women's Fashion,"Business Casual, Athleisure",100.0,Test
